workerid,proliferate.condition,ID,Order,accuracy,browser,browser_version,duration,failed_audio,failed_images,failed_video,fullscreen,gender,height,internal_node_id,microphone,mobile,order,os,question_order,response,rt,speech_rate,stimulus,success,talker,time_elapsed,timeout,transcript,trial_index,trial_type,vsync_rate,webaudio,webcam,width,error
8,pilot,UNKNOWN,,,,,0,,,,,UNKNOWN,,0.0-10.0,,,0,,,,,0,../practice/trial2_clip1.WAV,,UNKNOWN,136318,,UNKNOWN,10,audio-keyboard-response,,,,,
8,pilot,UNKNOWN,,,,,0,,,,,UNKNOWN,,0.0-11.0,,,0,,,,,0,../practice/trial2_clip2.WAV,,UNKNOWN,140321,,UNKNOWN,11,audio-keyboard-response,,,,,
8,pilot,,2,,,,,,,,,,,0.0-12.0,,,,,,,,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,142321,,,12,html-keyboard-response,,,,,
8,pilot,UNKNOWN,,,,,0,,,,,UNKNOWN,,0.0-13.0,,,0,,,,,0,../practice/trial3_clip1.WAV,,UNKNOWN,146324,,UNKNOWN,13,audio-keyboard-response,,,,,
8,pilot,UNKNOWN,,,,,0,,,,,UNKNOWN,,0.0-14.0,,,0,,,,,0,../practice/trial3_clip2.WAV,,UNKNOWN,150327,,UNKNOWN,14,audio-keyboard-response,,,,,
8,pilot,,3,,,,,,,,,,,0.0-15.0,,,,,,l,138,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,152330,,,15,html-keyboard-response,,,,,
8,pilot,,,,,,,,,,,,,0.0-16.0,,,,,,0,5681,,"
  <center>
        <p>You will now begin the experiment.</p>
        <p>In each trial, two audio clips will play one after another. You will hear a variety of sentences and phrases spoken by different talkers.</p>
        <p>Each audio clip will only be played once and you will not be able to replay them.</p>
        <p><strong>Your task is to decide which clip sounds more like someone who was born in Boston.</strong></p>
        <p><strong>These clips come from a range of different people so they might not all sound like your typical Bostonian, but please do your best to respond as quickly as possible.</strong></p>
        <p>Please place your left index finger on the ""S"" key and your right index finger on the ""L"" key.</p>
        <p><img src=""../procedures/keyboard.png"" width=""500"" style=""margin-top:-10px""></p>
        <p>If the <strong>first clip</strong> sounds more like someone who was born in Boston, please <strong>press S</strong>.</p>
        <p>If the <strong>second clip</strong> sounds more like someone who was born in Boston, please <strong>press L</strong>.</p>
        <p><b>Respond as quickly as possible when both clips have finished playing.</b></p>
        <p>This is a timed task. If you do not respond in time, the next question will appear automatically.</p>
        <p><b>Please answer as quickly and accurately as possible.</b></p> 
  </center>
        ",,,158012,,,16,html-button-response,,,,,
8,pilot,F1_02,,,,,2.456333,,,,,female,,0.0-17.0,,,1,,,,,4.419191919,../audio/F1_02.WAV,,F1,161221,,I didn't mean it that way and,17,audio-keyboard-response,,,,,
8,pilot,M2_03,,,,,0.928833,,,,,male,,0.0-18.0,,,2,,,,,0.928833,../audio/M2_03.WAV,,M2,162152,,After this the moment the podcast end we are heading there,18,audio-keyboard-response,,,,,
8,pilot,,1,,,,,,,,,,,0.0-19.0,,,,,,s,1187,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,164153,,,19,html-keyboard-response,,,,,
8,pilot,F5_04,,,,,0.83549,,,,,female,,0.0-20.0,,,1,,,,,0.83549,../audio/F5_04.WAV,,F5,165491,,As long as you tell me that we are still together,20,audio-keyboard-response,,,,,
8,pilot,F4_01,,,,,1.835479,,,,,female,,0.0-21.0,,,2,,,,,1.835479,../audio/F4_01.WAV,,F4,167329,,Are on the same level I think that's ok,21,audio-keyboard-response,,,,,
8,pilot,,2,,,,,,,,,,,0.0-22.0,,,,,,s,591,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,169331,,,22,html-keyboard-response,,,,,
8,pilot,F2_01,,,,,3.200677,,,,,female,,0.0-23.0,,,1,,,,,4.303388919,../audio/F2_01.WAV,,F2,173033,,I guess with every small step it helps,23,audio-keyboard-response,,,,,
8,pilot,M4_01,,,,,2.112052,,,,,male,,0.0-24.0,,,2,,,,,4.096262161,../audio/M4_01.WAV,,M4,175147,,Did you manage to fulfil them right now,24,audio-keyboard-response,,,,,
8,pilot,,3,,,,,,,,,,,0.0-25.0,,,,,,s,871,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,177149,,,25,html-keyboard-response,,,,,
8,pilot,M4_02,,,,,1.785187,,,,,male,,0.0-26.0,,,1,,,,,4.104669061,../audio/M4_02.WAV,,M4,179436,,I took the ATM card and I didn't,26,audio-keyboard-response,,,,,
8,pilot,M5_03,,,,,1.118844,,,,,male,,0.0-27.0,,,2,,,,,4.603580563,../audio/M5_03.WAV,,M5,180555,,They say that it's not a good thing to,27,audio-keyboard-response,,,,,
8,pilot,,4,,,,,,,,,,,0.0-28.0,,,,,,s,479,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,182558,,,28,html-keyboard-response,,,,,
8,pilot,F2_03,,,,,1.372927,,,,,female,,0.0-29.0,,,1,,,,,5.323505324,../audio/F2_03.WAV,,F2,184432,,If let's say like you plug in your stuff into the switch right,29,audio-keyboard-response,,,,,
8,pilot,F3_04,,,,,1.651802,,,,,female,,0.0-30.0,,,2,,,,,4.810583283,../audio/F3_04.WAV,,F3,186085,,It can go up to like four times,30,audio-keyboard-response,,,,,
8,pilot,,5,,,,,,,,,,,0.0-31.0,,,,,,l,142,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,188086,,,31,html-keyboard-response,,,,,
8,pilot,M3_02,,,,,1.70975,,,,,male,,0.0-32.0,,,1,,,,,3.775167785,../audio/M3_02.WAV,,M3,190298,,That's what I am first and foremost a historian,32,audio-keyboard-response,,,,,
8,pilot,M1_04,,,,,0.999906,,,,,male,,0.0-33.0,,,2,,,,,3.530450132,../audio/M1_04.WAV,,M1,191299,,She travelled to Hong Kong with her family,33,audio-keyboard-response,,,,,
8,pilot,,6,,,,,,,,,,,0.0-34.0,,,,,,s,553,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,193301,,,34,html-keyboard-response,,,,,
8,pilot,M1_01,,,,,1.480896,,,,,male,,0.0-35.0,,,1,,,,,5.043558001,../audio/M1_01.WAV,,M1,195284,,I said what is this,35,audio-keyboard-response,,,,,
8,pilot,F3_03,,,,,1.738271,,,,,female,,0.0-36.0,,,2,,,,,4.746835443,../audio/F3_03.WAV,,F3,197024,,A lot of people put their stuff up there,36,audio-keyboard-response,,,,,
8,pilot,,7,,,,,,,,,,,0.0-37.0,,,,,,l,696,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,199026,,,37,html-keyboard-response,,,,,
8,pilot,F1_04,,,,,3.175875,,,,,female,,0.0-38.0,,,1,,,,,3.68852459,../audio/F1_04.WAV,,F1,202703,,Believe that you cannot feel anything while you're doing,38,audio-keyboard-response,,,,,
8,pilot,F4_02,,,,,2.916635,,,,,female,,0.0-39.0,,,2,,,,,2.916635,../audio/F4_02.WAV,,F4,205621,,Really really like trying to show support to the person,39,audio-keyboard-response,,,,,
8,pilot,,8,,,,,,,,,,,0.0-40.0,,,,,,s,387,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,207623,,,40,html-keyboard-response,,,,,
8,pilot,F5_03,,,,,3.162094,,,,,female,,0.0-41.0,,,1,,,,,3.162094,../audio/F5_03.WAV,,F5,211287,,It was just through message,41,audio-keyboard-response,,,,,
8,pilot,M5_04,,,,,2.679688,,,,,male,,0.0-42.0,,,2,,,,,3.347680536,../audio/M5_04.WAV,,M5,213968,,Just talking about how why some people,42,audio-keyboard-response,,,,,
8,pilot,,9,,,,,,,,,,,0.0-43.0,,,,,,l,680,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,215971,,,43,html-keyboard-response,,,,,
8,pilot,M3_04,,,,,2.564635,,,,,male,,0.0-44.0,,,1,,,,,3.351955307,../audio/M3_04.WAV,,M3,219037,,I hurt my knee quite badly,44,audio-keyboard-response,,,,,
8,pilot,M2_02,,,,,1.039885,,,,,male,,0.0-45.0,,,2,,,,,1.039885,../audio/M2_02.WAV,,M2,220078,,When did you first start doing content,45,audio-keyboard-response,,,,,
8,pilot,,10,,,,,,,,,,,0.0-46.0,,,,,,l,1324,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,222080,,,46,html-keyboard-response,,,,,
8,pilot,F2_04,,,,,4.716052,,,,,female,,0.0-47.0,,,1,,,,,2.372479241,../audio/F2_04.WAV,,F2,227299,,Probably some household goods,47,audio-keyboard-response,,,,,
8,pilot,F1_01,,,,,2.72926,,,,,female,,0.0-48.0,,,2,,,,,4.312203536,../audio/F1_01.WAV,,F1,230030,,That person was asking me a question and I replied,48,audio-keyboard-response,,,,,
8,pilot,,11,,,,,,,,,,,0.0-49.0,,,,,,l,935,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,232032,,,49,html-keyboard-response,,,,,
8,pilot,M1_03,,,,,1.220375,,,,,male,,0.0-50.0,,,1,,,,,5.087881591,../audio/M1_03.WAV,,M1,233755,,It was not terrible because at that point of my life,50,audio-keyboard-response,,,,,
8,pilot,F5_02,,,,,2.006958,,,,,female,,0.0-51.0,,,2,,,,,2.006958,../audio/F5_02.WAV,,F5,235763,,I don't want to believe this,51,audio-keyboard-response,,,,,
8,pilot,,12,,,,,,,,,,,0.0-52.0,,,,,,,,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,237766,,,52,html-keyboard-response,,,,,
8,pilot,F4_04,,,,,1.514,,,,,female,,0.0-53.0,,,1,,,,,0.719448,../audio/F4_04.WAV,,F4,239782,,Slowly put the fish in the water,53,audio-keyboard-response,,,,,
8,pilot,M4_04,,,,,2.538281,,,,,male,,0.0-54.0,,,2,,,,,3.990877993,../audio/M4_04.WAV,,M4,242324,,I message him in IG with my,54,audio-keyboard-response,,,,,
8,pilot,,13,,,,,,,,,,,0.0-55.0,,,,,,,,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,244326,,,55,html-keyboard-response,,,,,
8,pilot,M2_04,,,,,2.180729,,,,,male,,0.0-56.0,,,1,,,,,2.180729,../audio/M2_04.WAV,,M2,247007,,Then I told them you know what never mind I'm not interested any more,56,audio-keyboard-response,,,,,
8,pilot,F1_03,,,,,2.034542,,,,,female,,0.0-57.0,,,2,,,,,2.999143102,../audio/F1_03.WAV,,F1,249044,,Certificate of sorts right a Youtube plaque,57,audio-keyboard-response,,,,,
8,pilot,,14,,,,,,,,,,,0.0-58.0,,,,,,l,481,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,251046,,,58,html-keyboard-response,,,,,
8,pilot,F5_01,,,,,1.144573,,,,,female,,0.0-59.0,,,1,,,,,1.144573,../audio/F5_01.WAV,,F5,252692,,But people have been telling me things about Junior,59,audio-keyboard-response,,,,,
8,pilot,F3_01,,,,,4.267563,,,,,female,,0.0-60.0,,,2,,,,,3.688092729,../audio/F3_01.WAV,,F3,256962,,Regular products may cost like eleven dollars,60,audio-keyboard-response,,,,,
8,pilot,,15,,,,,,,,,,,0.0-61.0,,,,,,s,378,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,258965,,,61,html-keyboard-response,,,,,
8,pilot,M3_03,,,,,1.483458,,,,,male,,0.0-62.0,,,1,,,,,3.134796238,../audio/M3_03.WAV,,M3,260949,,But I've left that life behind me,62,audio-keyboard-response,,,,,
8,pilot,M2_01,,,,,3.0,,,,,male,,0.0-63.0,,,2,,,,,3.02699,../audio/M2_01.WAV,,M2,263951,,I think the dinner how much was it,63,audio-keyboard-response,,,,,
8,pilot,,16,,,,,,,,,,,0.0-64.0,,,,,,l,650,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,265953,,,64,html-keyboard-response,,,,,
8,pilot,F4_03,,,,,3.670938,,,,,female,,0.0-65.0,,,1,,,,,3.670938,../audio/F4_03.WAV,,F4,270125,,I don't think they catch feelings but they just become more attached to them,65,audio-keyboard-response,,,,,
8,pilot,F3_02,,,,,4.438833,,,,,female,,0.0-66.0,,,2,,,,,4.833040422,../audio/F3_02.WAV,,F3,274565,,I mean honestly I'll say first it's so hard for us,66,audio-keyboard-response,,,,,
8,pilot,,17,,,,,,,,,,,0.0-67.0,,,,,,s,385,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,276568,,,67,html-keyboard-response,,,,,
8,pilot,M3_01,,,,,1.659469,,,,,male,,0.0-68.0,,,1,,,,,2.410606669,../audio/M3_01.WAV,,M3,278729,,I self-identify as a historian,68,audio-keyboard-response,,,,,
8,pilot,M1_02,,,,,1.508312,,,,,male,,0.0-69.0,,,2,,,,,4.539559014,../audio/M1_02.WAV,,M1,280240,,So you you don't have to like,69,audio-keyboard-response,,,,,
8,pilot,,18,,,,,,,,,,,0.0-70.0,,,,,,l,135,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,282242,,,70,html-keyboard-response,,,,,
8,pilot,M4_03,,,,,2.137188,,,,,male,,0.0-71.0,,,1,,,,,3.298153034,../audio/M4_03.WAV,,M4,284882,,Be a son to him,71,audio-keyboard-response,,,,,
8,pilot,F2_02,,,,,2.902938,,,,,female,,0.0-72.0,,,2,,,,,4.172461752,../audio/F2_02.WAV,,F2,287785,,Buy each other roses and give each other cards,72,audio-keyboard-response,,,,,
8,pilot,,19,,,,,,,,,,,0.0-73.0,,,,,,l,314,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,289787,,,73,html-keyboard-response,,,,,
8,pilot,M5_02,,,,,1.560854,,,,,male,,0.0-74.0,,,1,,,,,3.846153846,../audio/M5_02.WAV,,M5,291849,,You walk out of the situation rather than,74,audio-keyboard-response,,,,,
8,pilot,M5_01,,,,,2.002865,,,,,male,,0.0-75.0,,,2,,,,,3.53713997,../audio/M5_01.WAV,,M5,293853,,It's better to be factual about it,75,audio-keyboard-response,,,,,
8,pilot,,20,,,,,,,,,,,0.0-76.0,,,,,,s,805,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,295855,,,76,html-keyboard-response,,,,,
8,pilot,M2_02,,,,,1.039885,,,,,male,,0.0-77.0,,,1,,,,,1.039885,../audio/M2_02.WAV,,M2,297397,,When did you first start doing content,77,audio-keyboard-response,,,,,
8,pilot,M5_01,,,,,2.002865,,,,,male,,0.0-78.0,,,2,,,,,3.53713997,../audio/M5_01.WAV,,M5,299401,,It's better to be factual about it,78,audio-keyboard-response,,,,,
8,pilot,,1,,,,,,,,,,,0.0-79.0,,,,,,,,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,301403,,,79,html-keyboard-response,,,,,
8,pilot,M4_04,,,,,2.538281,,,,,male,,0.0-80.0,,,1,,,,,3.990877993,../audio/M4_04.WAV,,M4,304444,,I message him in IG with my,80,audio-keyboard-response,,,,,
8,pilot,M5_03,,,,,1.118844,,,,,male,,0.0-81.0,,,2,,,,,4.603580563,../audio/M5_03.WAV,,M5,305564,,They say that it's not a good thing to,81,audio-keyboard-response,,,,,
8,pilot,,2,,,,,,,,,,,0.0-82.0,,,,,,l,241,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,307567,,,82,html-keyboard-response,,,,,
8,pilot,F4_03,,,,,3.670938,,,,,female,,0.0-83.0,,,1,,,,,3.670938,../audio/F4_03.WAV,,F4,311739,,I don't think they catch feelings but they just become more attached to them,83,audio-keyboard-response,,,,,
8,pilot,M4_01,,,,,2.112052,,,,,male,,0.0-84.0,,,2,,,,,4.096262161,../audio/M4_01.WAV,,M4,313853,,Did you manage to fulfil them right now,84,audio-keyboard-response,,,,,
8,pilot,,3,,,,,,,,,,,0.0-85.0,,,,,,s,648,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,315856,,,85,html-keyboard-response,,,,,
8,pilot,F3_02,,,,,4.438833,,,,,female,,0.0-86.0,,,1,,,,,4.833040422,../audio/F3_02.WAV,,F3,320796,,I mean honestly I'll say first it's so hard for us,86,audio-keyboard-response,,,,,
8,pilot,M5_04,,,,,2.679688,,,,,male,,0.0-87.0,,,2,,,,,3.347680536,../audio/M5_04.WAV,,M5,323478,,Just talking about how why some people,87,audio-keyboard-response,,,,,
8,pilot,,4,,,,,,,,,,,0.0-88.0,,,,,,l,578,,"
      <center>
        <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
        <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
      </center>
      <p style=""text-align:center"">Which clip sounds more like someone who was <b>born in Boston?</b></p>
    ",,,325481,,,88,html-keyboard-response,,,,,
8,pilot,M1_01,,,,,1.480896,,,,,male,,0.0-89.0,,,1,,,,,5.043558001,../audio/M1_01.WAV,,M1,327464,,I said what is this,89,audio-keyboard-response,,,,,
8,pilot,M2_03,,,,,0.928833,,,,,male,,0.0-90.0,,,2,,,,,0.928833,../audio/M2_03.WAV,,M2,328394,,After this the moment the podcast end we are heading there,90,audio-keyboard-response,,,,,
